k,metric,within_k_mean,within_k_std,within_k_n_pairs,nearest_across_k_mean,all_across_k_mean,all_across_k_min,within_to_across_ratio,k_effect_exceeds_noise
1,top1_agreement,0.03115,0.00185,28,0.15112,0.15945,0.14364,0.1954,False
1,nestedness,0.03115,0.00185,28,0.25048,0.46539,0.24299,0.0669,False
1,spearman,-0.00062,0.00525,28,0.41262,0.44055,0.40143,-0.0014,False
2,top1_agreement,0.03099,0.00311,28,0.29787,0.37825,0.14364,0.0819,False
2,nestedness,0.06208,0.00372,28,0.4173,0.65219,0.24299,0.0952,False
2,spearman,0.00043,0.00842,28,0.55371,0.64532,0.40143,0.0007,False
3,top1_agreement,0.03195,0.00346,28,0.48599,0.44146,0.15262,0.0724,False
3,nestedness,0.09458,0.00366,28,0.62806,0.67932,0.33381,0.1392,False
3,spearman,0.00151,0.00897,28,0.73377,0.70208,0.41427,0.0022,False
4,top1_agreement,0.03218,0.00433,28,0.5554,0.47671,0.15151,0.0675,False
4,nestedness,0.12561,0.00393,28,0.70224,0.70216,0.40623,0.1789,False
4,spearman,0.00118,0.00768,28,0.79647,0.7321,0.42994,0.0016,False
5,top1_agreement,0.03203,0.00467,28,0.60646,0.49992,0.15418,0.0641,False
5,nestedness,0.15636,0.00471,28,0.75457,0.72861,0.47522,0.2146,False
5,spearman,0.00094,0.00903,28,0.83556,0.74909,0.43758,0.0013,False
6,top1_agreement,0.03197,0.0051,28,0.64489,0.50851,0.15663,0.0629,False
6,nestedness,0.18765,0.00472,28,0.79264,0.75379,0.53179,0.2489,False
6,spearman,0.00074,0.0085,28,0.86127,0.75525,0.44422,0.001,False
7,top1_agreement,0.0327,0.00659,28,0.67765,0.50853,0.15756,0.0643,False
7,nestedness,0.21852,0.00577,28,0.82329,0.78092,0.57709,0.2798,False
7,spearman,0.00064,0.0104,28,0.8816,0.75511,0.4468,0.0008,False
8,top1_agreement,0.03298,0.00688,28,0.69499,0.50042,0.15717,0.0659,False
8,nestedness,0.2502,0.00533,28,0.83794,0.81004,0.62408,0.3089,False
8,spearman,0.00045,0.00986,28,0.8916,0.75192,0.45224,0.0006,False
