pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
1-2,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-2,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-2,nestedness,up_delta_loss,9,0.00806252997038824,-0.13333333333333333,0.5118805803571429,0.03634735949455745
1-2,nestedness,down_delta_loss,9,0.18195503601401636,0.18333333333333332,0.5118805803571429,0.29112520739199627
1-2,nestedness,mean_abs_delta_loss,9,0.18687619735162952,0.18333333333333332,0.5118805803571429,0.16373628344327684
1-2,spearman,up_delta_loss,9,0.381565011296388,0.25,0.4021951953570048,0.03634735949455745
1-2,spearman,down_delta_loss,9,-0.690958018514929,-0.7333333333333333,0.4021951953570048,0.29112520739199627
1-2,spearman,mean_abs_delta_loss,9,-0.6141541254209271,-0.6333333333333333,0.4021951953570048,0.16373628344327684
1-2,top1_agreement,up_delta_loss,9,0.4360879198505308,0.26666666666666666,0.30984499007936506,0.03634735949455745
1-2,top1_agreement,down_delta_loss,9,0.6029499717783561,0.6166666666666667,0.30984499007936506,0.29112520739199627
1-2,top1_agreement,mean_abs_delta_loss,9,0.7140977322788054,0.7166666666666667,0.30984499007936506,0.16373628344327684
1-2,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-2,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,up_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,down_delta_loss,0,nan,nan,nan,nan
1-4,coactivation_cosine,mean_abs_delta_loss,0,nan,nan,nan,nan
1-4,nestedness,up_delta_loss,9,0.3476560519787761,0.38333333333333336,0.7561532738095238,0.1843803963396284
1-4,nestedness,down_delta_loss,9,-0.45106545821151384,-0.43333333333333335,0.7561532738095238,1.4203712252586607
1-4,nestedness,mean_abs_delta_loss,9,-0.3851849411785914,-0.08333333333333333,0.7561532738095238,0.8023758107991446
1-4,spearman,up_delta_loss,9,0.3696874672367771,0.6166666666666667,0.3896920647886064,0.1843803963396284
1-4,spearman,down_delta_loss,9,-0.7110934217662694,-0.8333333333333334,0.3896920647886064,1.4203712252586607
1-4,spearman,mean_abs_delta_loss,9,-0.6509175459405203,-0.48333333333333334,0.3896920647886064,0.8023758107991446
1-4,top1_agreement,up_delta_loss,9,0.2140918475641608,0.45,0.299422123015873,0.1843803963396284
1-4,top1_agreement,down_delta_loss,9,-0.2800832635015444,-0.55,0.299422123015873,1.4203712252586607
1-4,top1_agreement,mean_abs_delta_loss,9,-0.23961166718217203,-0.4666666666666667,0.299422123015873,0.8023758107991446
1-4,top_pair_overlap,up_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,down_delta_loss,0,nan,nan,nan,nan
1-4,top_pair_overlap,mean_abs_delta_loss,0,nan,nan,nan,nan
2-4,coactivation_cosine,up_delta_loss,9,-0.646456146822344,-0.5,0.9804875013980117,0.024639461986602298
2-4,coactivation_cosine,down_delta_loss,9,-0.1425598031691943,-0.25,0.9804875013980117,0.14247288755954257
2-4,coactivation_cosine,mean_abs_delta_loss,9,-0.27822775219971846,-0.23333333333333334,0.9804875013980117,0.08355617477307245
2-4,nestedness,up_delta_loss,9,-0.07994990232091989,-0.15,0.9004203869047619,0.024639461986602298
2-4,nestedness,down_delta_loss,9,-0.39032455677671507,-0.48333333333333334,0.9004203869047619,0.14247288755954257
2-4,nestedness,mean_abs_delta_loss,9,-0.3515975193475569,-0.5,0.9004203869047619,0.08355617477307245
2-4,spearman,up_delta_loss,9,-0.0672743446518498,-0.016666666666666666,0.7132837904824151,0.024639461986602298
2-4,spearman,down_delta_loss,9,-0.3706661329677407,-0.45,0.7132837904824151,0.14247288755954257
2-4,spearman,mean_abs_delta_loss,9,-0.33179039693811424,-0.43333333333333335,0.7132837904824151,0.08355617477307245
2-4,top1_agreement,up_delta_loss,9,-0.13994203310630146,0.08333333333333333,0.6493545386904762,0.024639461986602298
2-4,top1_agreement,down_delta_loss,9,-0.33223054345105163,-0.38333333333333336,0.6493545386904762,0.14247288755954257
2-4,top1_agreement,mean_abs_delta_loss,9,-0.31671602847096364,-0.4166666666666667,0.6493545386904762,0.08355617477307245
2-4,top_pair_overlap,up_delta_loss,9,-0.42818483014044845,-0.4418939581735309,0.38359788359788355,0.024639461986602298
2-4,top_pair_overlap,down_delta_loss,9,-0.30424864962681863,-0.19062092313367998,0.38359788359788355,0.14247288755954257
2-4,top_pair_overlap,mean_abs_delta_loss,9,-0.362860096878965,-0.28593138470052,0.38359788359788355,0.08355617477307245
